room,id,rssi,time
Office,C89F2066-D85B-7A21-E292-A1735A30A295,-83.0,742084271.559013
Office,216D23F7-E6A1-7727-A3D5-91C76258F327,-59.0,742084271.56589
Office,11FE69C7-7DD2-13AF-1493-7B63E92D5B0D,-56.0,742084271.574307
Office,DB047FFD-D211-EDF3-345E-1FE933920DC2,-83.0,742084271.574393
Office,AB8FA414-1C59-7DE7-F7EF-87C6CF2A303B,-79.0,742084271.579185
Office,767B7B8B-5B66-F187-5E3F-2D91165B7273,-80.0,742084271.582593
Office,767B7B8B-5B66-F187-5E3F-2D91165B7273,-80.0,742084271.584448
Office,1A1B6F87-2EF2-5298-771B-4105CAB1A5D4,-81.0,742084271.592777
Office,E834AAA0-5049-34E4-BFCA-2D38C282CC37,-85.0,742084271.639527
Office,A37C1D23-92BB-B847-8018-C22651E46D48,-61.0,742084271.644404
Office,B0C4F98E-F9D4-1338-30FF-8CF04C2C66D6,-82.0,742084271.819314
Office,8FAEB052-9E7A-078A-C55A-84B24C67A580,-95.0,742084271.897711
Office,38D9F6F6-ACB4-3B9E-F0F3-5DA8FABF46B7,-70.0,742084272.033355
Office,439088BA-AB72-D747-C574-BAAE3D8EEA42,-62.0,742084272.042802
Office,584E0854-B480-2B8F-47B3-6C5D118B94A6,-57.0,742084272.122839
Office,8F84943B-DB57-68A0-1E06-5C4D8213961D,-97.0,742084272.184641
Office,0A00F465-0195-CCB3-EF79-5907C6349690,-100.0,742084272.198999
Office,73F9C92F-340B-CA83-81CB-897AF5315FF8,-84.0,742084272.207197
Office,A958925A-1392-C100-BAC0-B4FF0EB2B292,-67.0,742084272.211749
Office,90662E08-A022-5AF1-06DE-12926F210458,-58.0,742084272.280662
Office,60F91619-FBB3-917F-ACC8-8D69D8F59E5D,-96.0,742084272.352023
Office,DD2D3B1C-1189-A6C3-F8D3-FA61CFF3E17A,-95.0,742084272.360483
Office,1DE19AA8-8F19-DBBE-53C5-5D7C3F46FE8D,-65.0,742084272.364938
Office,B678F16D-CF53-653C-9EFB-DAFB8EC4E47F,-90.0,742084272.383126
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-95.0,742084272.427209
Office,91F49612-0B04-8734-990E-1CCADCBB1AF8,-68.0,742084272.522257
Office,226CA360-64FE-B4D2-2A22-235AD97A4B44,-82.0,742084272.537773
Office,C515D8FF-1F70-7262-0C58-1A988AD33B43,-63.0,742084272.59945
Office,12822E3F-C869-980C-D8AE-AF65D7180C61,-95.0,742084272.607359
Office,26B7947C-D478-BF76-4904-73EF185C635E,-76.0,742084272.607458
Office,6F0C67B0-EE52-C6F1-2592-0AE4B3ED61B1,-63.0,742084272.626262
Office,81488ECC-4708-C2C5-FDF4-87F8A98ECA95,-78.0,742084272.630243
Office,767B7B8B-5B66-F187-5E3F-2D91165B7273,-85.0,742084272.633294
Office,FA31A665-404C-2DDC-C32D-E238252A820E,-59.0,742084272.718736
Office,CDC3419C-863A-D4EB-AD61-3FA87F76D7B2,-79.0,742084272.751117
Office,6F0C67B0-EE52-C6F1-2592-0AE4B3ED61B1,-61.0,742084273.070669
Office,A37C1D23-92BB-B847-8018-C22651E46D48,-60.0,742084273.078326
Office,E961CEAF-9981-8E9A-12F1-7B3693583246,-65.0,742084273.099032
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-91.0,742084273.224035
Office,9488D239-D083-5BBE-29BC-25FADF048ADD,-90.0,742084273.23549
Office,9488D239-D083-5BBE-29BC-25FADF048ADD,-91.0,742084273.242437
Office,65BF8987-7276-CB8E-D260-7D4C2EB7066D,-56.0,742084273.472527
Office,767B7B8B-5B66-F187-5E3F-2D91165B7273,-91.0,742084273.490569
Office,12DC1D96-8C58-E705-7910-3FE1E1F6CF2E,-92.0,742084273.667365
Office,8C41ED50-7BAD-FF26-DDFA-3B7885928FB8,-97.0,742084273.677032
Office,2519C39F-8C09-AE13-E859-54BAD0C1725B,-75.0,742084273.756582
Office,EA40B57C-5195-B26D-3C8B-C70B02313681,-82.0,742084273.926645
Office,9585A0D0-1BDE-07A5-E45A-B6CB4272B422,-94.0,742084274.039136
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-93.0,742084274.046142
Office,03DF865E-BD6E-7AE1-2727-59E42A2C229A,-54.0,742084274.132012
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-94.0,742084274.16469
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-87.0,742084274.434721
Office,652240CD-0C36-FFCB-1F24-A52CE6B1A21E,-59.0,742084274.614474
Office,F0E4C4E0-A39C-12A0-6A9E-7556B634634D,-74.0,742084274.644957
Office,767B7B8B-5B66-F187-5E3F-2D91165B7273,-88.0,742084274.84907
Office,0D8A53BC-8C13-4F34-1024-D25F0A7DEBFE,-69.0,742084274.913308
Office,A765EF6B-4DA8-6363-4CE2-8470D5853458,-85.0,742084274.926021
Office,53016A5F-F5CB-5C8F-B8B0-5ADB76F6736A,-96.0,742084274.938414
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-92.0,742084275.069111
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-87.0,742084275.328638
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-87.0,742084275.340834
Office,C6ED9620-AD51-87B2-3861-8081C535820F,-93.0,742084275.593444
Office,767B7B8B-5B66-F187-5E3F-2D91165B7273,-89.0,742084275.804761
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-85.0,742084275.992654
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-85.0,742084276.001807
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-87.0,742084276.121582
Office,05E41F49-FD25-6606-4BB1-52DA9FBF5637,-89.0,742084276.358426
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-84.0,742084276.504302
Office,767B7B8B-5B66-F187-5E3F-2D91165B7273,-83.0,742084276.712567
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-83.0,742084276.879844
Office,4468381F-9D7E-67F5-6AB9-D302F8CA60A6,-89.0,742084277.180069
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-86.0,742084277.418567
Office,767B7B8B-5B66-F187-5E3F-2D91165B7273,-82.0,742084277.549101
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-90.0,742084277.573935
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-89.0,742084277.664668
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-90.0,742084277.797176
Office,CE8E02F4-6E03-1674-5611-3CFFB7F205F8,-97.0,742084278.437738
Office,767B7B8B-5B66-F187-5E3F-2D91165B7273,-79.0,742084278.446141
Office,1B053674-0430-EFFA-2646-1A61DEC9F880,-97.0,742084278.527603
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-90.0,742084278.600369
Office,F6EE7211-D61A-3F9A-4F83-C0D414EEFFF0,-74.0,742084279.104509
Office,25143387-AD1E-4C64-BE04-6FE1562A35F8,-97.0,742084279.113788
Office,C664414A-F7D4-BD2E-0D7C-C514194D85F0,-62.0,742084279.123898
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-84.0,742084279.26669
Office,E4D047CD-8877-F22A-8643-C5A756527FC4,-63.0,742084279.507237
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-95.0,742084279.641751
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-78.0,742084279.873038
Office,79E3B532-0911-6D4A-5FD6-8E7C487F1014,-54.0,742084280.026745
Office,767B7B8B-5B66-F187-5E3F-2D91165B7273,-82.0,742084280.060903
Office,787F4872-E062-6C4C-84D4-EC834C234903,-62.0,742084280.193904
Office,767B7B8B-5B66-F187-5E3F-2D91165B7273,-91.0,742084280.397877
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-92.0,742084280.708081
Office,B210D423-416D-1F40-2CCD-20C41A4958E9,-94.0,742084280.713159
Office,07DE9539-F736-B2E9-91EF-1BE51F72A30F,-81.0,742084281.228102
Office,CB0E91F7-72A1-AD21-2F19-6FA49B57B739,-96.0,742084281.507131
Office,767B7B8B-5B66-F187-5E3F-2D91165B7273,-82.0,742084281.51372
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-84.0,742084281.901694
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-85.0,742084282.143273
