room,id,rssi,time,name
Office,216D23F7-E6A1-7727-A3D5-91C76258F327,-60.0,742178653.888701,Office
Office,767B7B8B-5B66-F187-5E3F-2D91165B7273,-86.0,742178653.987223,Maliha’s Room
Office,4B1CB61A-F138-C74E-68D6-89CBA40735F8,-89.0,742178654.006234,HomePod
Office,AB8FA414-1C59-7DE7-F7EF-87C6CF2A303B,-78.0,742178654.011798,Living room (2)
Office,C89F2066-D85B-7A21-E292-A1735A30A295,-84.0,742178654.02036,Bedroom
Office,E834AAA0-5049-34E4-BFCA-2D38C282CC37,-77.0,742178654.032118,FS-BC7F79
Office,16E6B5AF-F369-6638-E6A4-BA243D4752F6,-67.0,742178654.062037,
Office,6F0C67B0-EE52-C6F1-2592-0AE4B3ED61B1,-56.0,742178654.074325,Brayden's MacBook Pro
Office,11FE69C7-7DD2-13AF-1493-7B63E92D5B0D,-48.0,742178654.086379,Brayden R.’s iPad (3)
Office,73F9C92F-340B-CA83-81CB-897AF5315FF8,-80.0,742178654.089562,
Office,BFC21844-60D0-E4F2-2B57-56D9DBF448FE,-67.0,742178654.092959,
Office,38D9F6F6-ACB4-3B9E-F0F3-5DA8FABF46B7,-59.0,742178654.108002,Brayden’s iPhone
Office,90662E08-A022-5AF1-06DE-12926F210458,-54.0,742178654.114454,Dev iPad
Office,EB0A295E-CB81-E555-A69C-051C35B35F20,-59.0,742178654.114523,
Office,30E2A2AE-713B-E89B-DBB6-104038B4229A,-56.0,742178654.118982,
Office,390BFADD-F71A-70DD-007C-166D24D176B5,-87.0,742178654.121206,
Office,DB047FFD-D211-EDF3-345E-1FE933920DC2,-87.0,742178654.128098,Living room
Office,52C9E7AE-2610-C545-2D32-3E9B7FE6C227,-89.0,742178654.13473,
Office,F6A9CC77-A527-843A-BCC8-3DCCEDB8B3E9,-69.0,742178654.136789,
Office,A7DDE20D-1AAA-935A-FEC1-76D179BEB0CD,-55.0,742178654.138596,
Office,AE99C012-82CD-FEE2-1A6B-FD927CAF3256,-99.0,742178654.158207,
Office,463BBA26-F1F4-E93B-182A-F49E83304176,-53.0,742178654.163567,
Office,42D6F340-5F9B-45EA-BF70-F9F52D1B66F2,-98.0,742178654.17308,
